Friday Checklist V3 - F22 P03 W4 - 1 Person does the upload, another opens the phone queue, another actions lost cards
Aging|Statistical Gathering|Gather all the stats from last week and fill in the tracker.||2~Working it|Eric.Zueff|
iTrade & Tools|Check the Archive Ref. Files|Review the CIMS repository and confirm we received all the required flat files, 3 and sometimes a Mog, note if you see the Mog.|https://web.microsoftstream.com/video/cd9ba5a0-6a06-4a84-b408-3f70e798c8ef|0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/16/2022)</i></span><br>Files are in</p>
iTrade & Tools|Check CIMS Event Log|Review from yesterday to current + look for Error 4010 & 4016|https://web.microsoftstream.com/video/051f3b07-0606-4a6f-8971-b9884bf8877f|0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/16/2022)</i></span><br>Total Amount does not match in Header and Detail for Invoice(s): [CANADA202297198_57017612_UNBALANCED_20221215130503897.TXT-20960754, CANADA202297198_57017612_UNBALANCED_20221215130503897.TXT-20990857, CANADA202297198_57017612_UNBALANCED_20221215130503897.TXT-27026850]</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/16/2022)</i></span><br>1 error</p>
iTrade & Tools|Check overnight CIMS file load|Check the invoice files that came between 11 AM yesterday and 4 AM today with the Filebot & Audit tool, action any issues detected.|https://web.microsoftstream.com/video/072bb6b4-eb31-43cc-ae6c-ff3cf4ec4ac1|0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Parth.Padhya (12/16/2022)</i></span><br>3 pepsi unbalanced invoices</p>
iTrade & Tools|Missing CIMS Invoice Email|Check the Missing Invoice Tracker and follow up with vendors regarding missing invoices|https://web.microsoftstream.com/video/c50dbb2f-c777-4b8c-9245-003b4333932b|5~Not Started||<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/09/2022)</i></span><br>Nestle Missing invoice#9689758182 from unit# 62503</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/09/2022)</i></span><br>Nestle Missing invoice 9689796018 & 9689789567 unit 58076</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/12/2022)</i></span><br>Sysco missing invoice 3313023502 unit 43077</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/13/2022)</i></span><br>7 Hector invoices (12/2-12/6) for 53651 - keyed to ORBIT</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/13/2022)</i></span><br>Sysco Missing invoices #3313024490 & 3313024489 unit 47021</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/13/2022)</i></span><br>Sysco missing invoice #3313024553 unit 43415</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/13/2022)</i></span><br>Sysco missing invoice #3313023427 unit 41522</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/14/2022)</i></span><br>All sysco are now in Cims</p><p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/14/2022)</i></span><br>Sysco missing invoice#3382900978 unit#23691</p><p><span style="color:#404040;font-size:0.75em;"><i>Berkeley.Chan (12/15/2022)</i></span><br>Sysco missing invoice #3382901077 for unit 13306</p><p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/16/2022)</i></span><br>Sysco missing invoice#3382901840for unit#11245</p>
iTrade & Tools|Check the 11 AM CIMS file load|Check the invoice files that came after 4AM to now with the Filebot & Audit tool|https://web.microsoftstream.com/video/072bb6b4-eb31-43cc-ae6c-ff3cf4ec4ac1|0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Parth.Padhya (12/16/2022)</i></span><br>no issue</p>
iTrade & Tools|DCNT (customer number tool)|Load all the iTrade files that came from over night to today and action any customer numbers the tool reports. This is best done after the 11AM Filebot.||0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Parth.Padhya (12/16/2022)</i></span><br>5 invoices-mapped nad recovered</p>
iTrade & Tools|Invoices in CR position|Run tool and and look for product invoice in a credit postion, action if you find. - CIMS||0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Parth.Padhya (12/16/2022)</i></span><br>6 min order charge invoices.</p>
CIMS|Invoice Recalc Check|Use the CIMS price variance report and look for anything from yesterday that has a negative price recalculation. That would mean we are paying more for something and something is probably wrong with the invoice.||0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/16/2022)</i></span><br>Only Tax variance and Qty adjustment - all good</p>
CIMS|Submit Invoices|Push through any invoice an operator may have forgotten to submit.||0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/16/2022)</i></span><br>Sumbmitted</p>
CIMS|Resolve Rejected Screen|Clean that screen up and track anything from the IVR users in the tracker||4~Complete|Berkeley.Chan|<p><span style="color:#404040;font-size:0.75em;"><i>Berkeley.Chan (12/15/2022)</i></span><br>Emails sent out to DMs</p>
Other Tasks|CIMS Access and JDE Vendor Changes|Use the tools to review the unit user & supplier reference files in the CIMS repository for changes that might impact us. Track in CIMS JDE Vendor & CIMS user drops.xlsx. |https://web.microsoftstream.com/video/88dd16df-32e5-40f8-a944-350ebe6a5338|1~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/15/2022)</i></span><br>60620-Big White Ski Resort Group- TM-No date</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/15/2022)</i></span><br>60623-Big White Ski Resort-BWSR - TM-No date</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/15/2022)</i></span><br>60624-BWSR - Clocktower Coffee - TM-No date</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/15/2022)</i></span><br>60625-BWSR - Ridge Rocket - TM-No date</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/15/2022)</i></span><br>60626-BWSR - The Woods - TM-No date</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/15/2022)</i></span><br>60627-BWSR - Happy Valley SK8ters - TM-No date</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/15/2022)</i></span><br>60629-BWSR - Happy Valley Lodge - TM-No date</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/15/2022)</i></span><br>60664-BWSR - Black Forest Lodge - TM-No date</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/15/2022)</i></span><br>60665-BWSR - Westridge Lodge - TM-No date</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/16/2022)</i></span><br>Vendor #15309 (SNOWCAP ENTERPRISES) - On Patricks request to deactivate immediately</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/16/2022)</i></span><br>14481-Bella Seniors Care Centre-PL  -5/11/22</p>
Other Tasks|Email low volume vendors|Review Filebot grid and email any vendor that seems to have unusual invoice activity.||0~Complete|Parth.Padhya|
Other Tasks|Unit Info Sheets|Review and action any setups or changes reported in the sheets, schedule a reminder to action if the change is happening in the future.|https://web.microsoftstream.com/video/5b0356ea-3e18-4656-acc8-7f270457f72e|0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/16/2022)</i></span><br>Terminate 14 units. Checking the units from D91</p>
Other Tasks|Delete stuck VMs|Call 3286175 & 3286178 from Jabber, push * when you here the greating, then 3286175 & 3286178 # for the pin & 555777 # for the password...call any new msg heard as it was not emailed to our inbox, then delete new and saved VMs and then delete the deleted.||0~NA|Eric.Zueff|
Boss|10k keyed backup|On the first week of the period follow the 10k backup process and document why we might have keyed that.|https://web.microsoftstream.com/video/578c9351-72d8-4cd2-aa88-6f5e0b8f1b8e|0~NA|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/16/2022)</i></span><br>Not W1</p>
Digital Hospitality|Daily Digital Hospitality Uploads |Run Journal Entry Batch Processor and investigate any kickouts. User IDs: CDL_MOBILE, MODURN_MBL, NUTRISLICE, APP8_MBL|https://web.microsoftstream.com/channel/fbcc7943-e018-47b1-967d-c0022d1f34ef|0~Complete|Ellen.Cavell|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/16/2022)</i></span><br>Nutrislice good</p><p><span style="color:#404040;font-size:0.75em;"><i>Ellen.Cavell (12/16/2022)</i></span><br>CDL is good</p>
Digital Hospitality|Check CDL Exact Discrepancy Report Daily|Run Exact Discrepancy Report on Dashboard, and contact CDL about any variances.||6~Working it|Mary.McGillivray|<p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/08/2022)</i></span><br>JDE batch missing for Sheridan unit 17422. Emailed CDL</p><p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/09/2022)</i></span><br>Extra payment in 23744 and a double payment in 36931. And mapping in new unit 23744 is still incorrect</p><p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/12/2022)</i></span><br>4 double payments on Dec 9. Emailed CD</p><p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/13/2022)</i></span><br>2 more duplicate payments on Dec 12</p><p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/14/2022)</i></span><br>1 missing transaction in 36953</p><p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/16/2022)</i></span><br>Yesterday 1 triple payment and 1 paid 5x. Today 2 double payments. CD adding to Jira ticket</p>
Digital Hospitality|App8 Validation | Login to Bambora and App8 portal for 10751, validate that they match the JDE submission around 1pm daily. Make corrections to tips (214070) and sales if necessary, then run Digital Hospitality processor for APP8_MBL||2~Complete|Ellen.Cavell|<p><span style="color:#404040;font-size:0.75em;"><i>Ellen.Cavell (12/16/2022)</i></span><br>no sales on App8</p>
Debit Terminal Support|Check Chargebacks|Need to check all the following websites and respond to any new cases - Clinetline, AMEX, Chase, TD, Moneris. There is instructions on how to respond to Clientline, AMEX, and Chase chargebacks in the debit terminal helper knowledge garden. I’ve never had a TD or Moneris chargeback so no instructions on that.||0~Complete|Melissa.Baxter|<p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/16/2022)</i></span><br>No new CBs</p>
Debit Terminal Support|Maintenance Form - Fiserv|Must be sent to andrew.leblanc@fiserv.com by 2PM. Instructions on maintenance form are located in the debit terminal helper knowledge garden.||0~Complete|Melissa.Baxter|<p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/16/2022)</i></span><br>Nothing to send</p>
Debit Terminal Support|Maintenance Form - Moneris|CAF(s) and maintenance form need to be sent to justin.baird@moneris.com and chris.smith@moneris.com.||0~Complete|Melissa.Baxter|<p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/16/2022)</i></span><br>63051 - moving to Moneris, 5 P400s and 2 Moneris Go Plus Wireless</p><p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/16/2022)</i></span><br>21424 - moving to Moneris, 1 Moneris Go Plus Wireless</p><p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/16/2022)</i></span><br>12531 - 1 call tag</p><p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/16/2022)</i></span><br>VTs - order Vaults</p>
Debit Terminal Support|Fiserv Refund Form|Once a day send andrew.leblanc@fiserv.com a list of all our instore refunds request (if there is any).||2~Complete|Melissa.Baxter|<p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/14/2022)</i></span><br>43058 - 1 refund, need Nicki's approval</p><p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/15/2022)</i></span><br>41509 - 1 refund, already have approval. Will send out today.</p><p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/16/2022)</i></span><br>43058 - got approval, will send out today</p>
Debit Terminal Support|Admin Fees|DTS will send App Support a JE with the fees that need to be keyed||0~Complete|Melissa.Baxter|<p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/16/2022)</i></span><br>No admin fees this week</p>
Online Reporting|Action JDE Changes|Run the process outlined in the knowledge garden||0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/16/2022)</i></span><br>All done</p>
Zipthru|Month End Report – after 2nd Op – PERIOD END ONLY|Run T/B by Object for 255095 and Givex Liability Report. Ensure both still match, and any corrections needed are keyed before final op.||0~NA|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/16/2022)</i></span><br>Not PE</p>
