Monday Checklist V3 - F22 P03 W4 - 1 Person does the upload, another opens the phone queue, another starts lost cards
Aging|Statistical Gathering|Gather all the stats from last week and fill in the tracker.||3~Working it|Eric.Zueff|
Email|Check Orbit Ice Scheduler Email|You should find an email in the app support box that Ice was succesful, if not we need IT help right now to get that job run.|https://web.microsoftstream.com/video/cb1d8cee-41ea-4042-a6a7-158e00adeb9a|0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/19/2022)</i></span><br>ICE was fine but there are 6 processor errors from Sunday. Usually not a good sign for tomorrow.. which is only a day away! ;)</p>
Email|Checkpoint  Morning|Count emails in App Support & WORrior inboxes, combine total and mark in the tracker.|https://web.microsoftstream.com/video/df356ace-1b83-4e3b-a0c9-bb2ae9e720eb|0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/19/2022)</i></span><br>44 App & 39 Zip @ 6:54 AM</p>
Email|Checkpoint Noon|Count emails in App Support & WORrior inboxes, combine total and mark in the tracker.|https://web.microsoftstream.com/video/df356ace-1b83-4e3b-a0c9-bb2ae9e720eb|0~Complete|Berkeley.Chan|<p><span style="color:#404040;font-size:0.75em;"><i>Berkeley.Chan (12/19/2022)</i></span><br>11 App & 21 Zip @ 12:01 PM</p>
Email|Checkpoint  Afternoon|Count emails in App Support & WORrior inboxes, combine total and mark in the tracker.|https://web.microsoftstream.com/video/df356ace-1b83-4e3b-a0c9-bb2ae9e720eb|0~Complete|Chris.Anzuluni|<p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/19/2022)</i></span><br>32 App & 22 Zip @ 5:00 PM</p>
iTrade & Tools|Check for SFTP connectivity|Use the iTrade account and open a connection with Filezilla to the file drop location. If you can't let IT know right away. shenning@compass-na.com; Allan.Dittmer@compass-canada.com; Jason.Lucier@compass-canada.com This should be done first thing in the morning so we can ensure we get our files.||0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/19/2022)</i></span><br>Connection is good.</p>
iTrade & Tools|Check the Archive Ref. Files|Review the CIMS repository and confirm we received all the required flat files, 3 and sometimes a Mog, note if you see the Mog.|https://web.microsoftstream.com/video/cd9ba5a0-6a06-4a84-b408-3f70e798c8ef|0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>Files are in</p>
iTrade & Tools|Check CIMS Event Log|Review from Sat to current + look for Error 4010 & 4016|https://web.microsoftstream.com/video/051f3b07-0606-4a6f-8971-b9884bf8877f|0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>Saturday <BR>Total Amount does not match in Header and Detail for Invoice(s):<BR> [CANADA202297198_57032822_UNBALANCED_20221216120345722.TXT-20949651, CANADA202297198_57032822_UNBALANCED_20221216120345722.TXT-20956502, CANADA202297198_57032822_UNBALANCED_20221216120345722.TXT-27016003]</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>Sunday <BR>Total Amount does not match in Header and Detail for Invoice(s):<BR> [CANADA202297198_57047089_UNBALANCED_20221217122828035.TXT-20905503]</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>Monday <BR>File(s) contain duplicate Invoice Numbers<BR> [CANADASYSCO_57054726_BALANCED_20221219020439554.TXT, <BR> CANADASYSCO_57054720_BALANCED_20221219020439517.TXT,-3382902846, <BR>CANADASYSCO_57054930_BALANCED_20221219020439577.TXT, <BR>CANADASYSCO_57054720_BALANCED_20221219020439517.TXT,-3382902847, <BR>CANADASYSCO_57054936_BALANCED_20221219020439590.TXT, <BR>CANADASYSCO_57054720_BALANCED_20221219020439517.TXT,-3382902848, <BR>CANADASYSCO_57054933_BALANCED_20221219020439584.TXT, <BR>CANADASYSCO_57054720_BALANCED_20221219020439517.TXT,-3382902849, <BR>CANADASYSCO_57054927_BALANCED_20221219020439570.TXT, <BR>CANADASYSCO_57054720_BALANCED_20221219020439517.TXT,-3382902850]</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>Errors <BR> 7 Friday <BR> 2 Saturday <BR> 4 Sunday</p>
iTrade & Tools|Check iTrade load from last Friday 11 AM to this morning (Filebot)| Check the invoice files that came between 11 AM Friday and 4 AM today with the Filebot & Audit tool, action any issues detected.|https://web.microsoftstream.com/video/072bb6b4-eb31-43cc-ae6c-ff3cf4ec4ac1 |0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/19/2022)</i></span><br>69 files to review.</p><p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/19/2022)</i></span><br>5 old JB Hand invoices, 3 stand as not in JDE.</p><p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/19/2022)</i></span><br>CIMS auto trashed correctly so all good.</p><p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/19/2022)</i></span><br>4 Pepsi unbalanced.</p>
iTrade & Tools|Missing CIMS Invoice Email|Check the Missing Invoice Tracker and follow up with vendors regarding missing invoices|https://web.microsoftstream.com/video/c50dbb2f-c777-4b8c-9245-003b4333932b|6~Not Started||<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/09/2022)</i></span><br>Nestle Missing invoice#9689758182 from unit# 62503</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/09/2022)</i></span><br>Nestle Missing invoice 9689796018 & 9689789567 unit 58076</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/12/2022)</i></span><br>Sysco missing invoice 3313023502 unit 43077</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/13/2022)</i></span><br>7 Hector invoices (12/2-12/6) for 53651 - keyed to ORBIT</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/13/2022)</i></span><br>Sysco Missing invoices #3313024490 & 3313024489 unit 47021</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/13/2022)</i></span><br>Sysco missing invoice #3313024553 unit 43415</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/13/2022)</i></span><br>Sysco missing invoice #3313023427 unit 41522</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/14/2022)</i></span><br>All sysco are now in Cims</p><p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/14/2022)</i></span><br>Sysco missing invoice#3382900978 unit#23691</p><p><span style="color:#404040;font-size:0.75em;"><i>Berkeley.Chan (12/15/2022)</i></span><br>Sysco missing invoice #3382901077 for unit 13306</p><p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/16/2022)</i></span><br>Sysco missing invoice#3382901840for unit#11245</p>
iTrade & Tools|Check the 11 AM CIMS file load|Check the invoice files that came after 4AM to now with the Filebot & Audit tool|https://web.microsoftstream.com/video/072bb6b4-eb31-43cc-ae6c-ff3cf4ec4ac1|0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/19/2022)</i></span><br>Please check for these Sysco, they where dups over the weekend but should load here.<br>3382902846<br>3382902847<br>3382902848<br>3382902849<br>3382902850</p><p><span style="color:#404040;font-size:0.75em;"><i>Parth.Padhya (12/19/2022)</i></span><br>ALL GOOD, NO ISSUES</p>
iTrade & Tools|DCNT (customer number tool)|Load all the iTrade files in the tool from last Friday to current and action any customer numbers the tool reports. This is best done after the 11AM Filebot.||0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/19/2022)</i></span><br>16 new hits from the weekend.</p>
iTrade & Tools|Invoices in CR position|Run tool and and look for product invoice in a credit postion, action if you find. - CIMS||0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/19/2022)</i></span><br>9 Sysco Min Order Charges so do nothing.</p>
CIMS|Invoice Recalc Check|Use the CIMS price variance report and look for anything from Friday to today that has a negative price recalculation. That would mean we are paying more for something and something is probably wrong with the invoice.||0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/19/2022)</i></span><br>Coke $234.09 price variance due to MOG change - Nilda changed it. All good</p>
CIMS|Resolve Rejected Screen|Clean that screen up and track anything from the IVR users in the tracker||0~Working it|Berkeley.Chan|<p><span style="color:#404040;font-size:0.75em;"><i>Berkeley.Chan (12/19/2022)</i></span><br>4 unresolved; waiting for responses</p>
Other Tasks|CIMS Access and JDE Vendor Changes|Use the tools to review the unit user & supplier reference files in the CIMS repository for changes that might impact us. Track in CIMS JDE Vendor & CIMS user drops.xlsx. |https://web.microsoftstream.com/video/88dd16df-32e5-40f8-a944-350ebe6a5338|0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>Vendor #126271 (SSQ VIE)- vendor changed legal name use v#835755</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>24486-The Bartlett Bistro Retail CPX-5/11/22</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>24487-The Bartlett Concierge FS - CP-5/11/22</p>
Other Tasks|Extra Orbit Uploads After 1 PM|||0~Complete|Chris.Anzuluni|
Other Tasks|4PM: Turn on Flags|Refresh production data tables and filter for any flags that are off. Turn on appropriate flags.|https://web.microsoftstream.com/video/9133cf2a-f456-4c17-8b1b-eebcc788214f?channelId=2018685c-6c37-406d-971a-3c64fc61ce9c|0~Complete|Chris.Anzuluni|
Other Tasks|Integrity Reports|Review the reports and report any strange activity to Annette or Sharon.|https://web.microsoftstream.com/video/91ce4db1-f4f8-4510-9256-5898aeb1812d|0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>No changes this week</p>
Digital Hospitality|Daily Digital Hospitality Uploads |Run Journal Entry Batch Processor and investigate any kickouts. User IDs: CDL_MOBILE, MODURN_MBL, NUTRISLICE, APP8_MBL|https://web.microsoftstream.com/channel/fbcc7943-e018-47b1-967d-c0022d1f34ef|0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>Nutrislice good</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>CDL Good</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>APP8 has two kickout for 60632 - Jeff to add discount GL</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>App8 now looking into Saturday discrepancies</p>
Digital Hospitality|Check CDL Exact Discrepancy Report Daily|Run Exact Discrepancy Report on Dashboard, and contact CDL about any variances.||7~Working it|Mary.McGillivray|<p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/08/2022)</i></span><br>JDE batch missing for Sheridan unit 17422. Emailed CDL</p><p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/09/2022)</i></span><br>Extra payment in 23744 and a double payment in 36931. And mapping in new unit 23744 is still incorrect</p><p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/12/2022)</i></span><br>4 double payments on Dec 9. Emailed CD</p><p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/13/2022)</i></span><br>2 more duplicate payments on Dec 12</p><p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/14/2022)</i></span><br>1 missing transaction in 36953</p><p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/16/2022)</i></span><br>Yesterday 1 triple payment and 1 paid 5x. Today 2 double payments. CD adding to Jira ticket</p><p><span style="color:#404040;font-size:0.75em;"><i>Mary.McGillivray (12/19/2022)</i></span><br>Unauthorized refunds issued on Dec 16. Duplicate payment on Dec 18</p>
Digital Hospitality|App8 Validation | Login to Bambora and App8 portal for 10751, validate that they match the JDE submission around 1pm daily. Make corrections to tips (214070) and sales if necessary, then run Digital Hospitality processor for APP8_MBL||0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>APP8 has two kickout for 60632 - Jeff to add discount GL <BR> App8 now looking into Saturday discrepancies</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>All good. Did not have the list expanded enough</p>
Debit Terminal Support|Check Chargebacks|Need to check all the following websites and respond to any new cases - Clinetline, AMEX, Chase, TD, Moneris. There is instructions on how to respond to Clientline, AMEX, and Chase chargebacks in the debit terminal helper knowledge garden. I’ve never had a TD or Moneris chargeback so no instructions on that.||0~Complete|Melissa.Baxter|<p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/19/2022)</i></span><br>AMEX - 2 credit chargebacks for 40963</p><p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/19/2022)</i></span><br>Fiserv - 1 new CB for 40963</p><p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/19/2022)</i></span><br>Fiserv - 1 new CB for 63206</p><p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/19/2022)</i></span><br>Fiserv - 1 new CB for 63523</p>
Debit Terminal Support|Maintenance Form - Fiserv|Must be sent to andrew.leblanc@fiserv.com by 2PM. Instructions on maintenance form are located in the debit terminal helper knowledge garden.||0~Complete|Melissa.Baxter|<p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/19/2022)</i></span><br>63637 - closing, 1 call tag</p><p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/19/2022)</i></span><br>71661 - closing, 1 call tag</p>
Debit Terminal Support|Maintenance Form - Moneris|CAF(s) and maintenance form need to be sent to justin.baird@moneris.com and chris.smith@moneris.com.||0~Complete|Melissa.Baxter|<p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/19/2022)</i></span><br>63404 - 1 P400</p><p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/19/2022)</i></span><br>63405 - moving to Moneris, 1 P400</p>
Debit Terminal Support|Fiserv Refund Form|Once a day send andrew.leblanc@fiserv.com a list of all our instore refunds request (if there is any).||0~Complete|Melissa.Baxter|<p><span style="color:#404040;font-size:0.75em;"><i>Melissa.Baxter (12/19/2022)</i></span><br>27431 - 1 refund, need Nicki's approval</p>
Online Reporting|Action JDE Changes|Run the process outlined in the knowledge garden.||0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/19/2022)</i></span><br>All done</p>
