Friday Checklist V3 - No Fiscal Date Found :( - 1 Person does the upload, another opens the phone queue, another actions lost cards
Aging|Reconciliation Company 100– Tuesday/Wednesday|Identify and analyze variances between Givex and JDE at company 100 using the reconciliation file created and the Zipthru report from Debit Terminal Support.||2~Complete|Chris.Anzuluni|
Email|Checkpoint  Morning|Count emails in App Support & WORrior inboxes, combine total and mark in the tracker.|https://web.microsoftstream.com/video/df356ace-1b83-4e3b-a0c9-bb2ae9e720eb|0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>14 App & 11 Zip @ 7:06 AM</p>
Email|Checkpoint Noon|Count emails in App Support & WORrior inboxes, combine total and mark in the tracker.|https://web.microsoftstream.com/video/df356ace-1b83-4e3b-a0c9-bb2ae9e720eb|0~NA|Eric.Zueff|
Email|Checkpoint  Afternoon|Count emails in App Support & WORrior inboxes, combine total and mark in the tracker.|https://web.microsoftstream.com/video/df356ace-1b83-4e3b-a0c9-bb2ae9e720eb|2~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>2 App & 11 Zip @ 10:45 AM.. we are done for the pay pretty much.</p>
iTrade & Tools|Check for SFTP connectivity|Use the iTrade account and open a connection with Filezilla to the file drop location. If you can't let IT know right away. shenning@compass-na.com; Allan.Dittmer@compass-canada.com; Jason.Lucier@compass-canada.com This should be done first thing in the morning so we can ensure we get our files.||0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>Its all good</p>
iTrade & Tools|Check the Archive Ref. Files|Review the CIMS repository and confirm we received all the required flat files, 3 and sometimes a Mog, note if you see the Mog.|https://web.microsoftstream.com/video/cd9ba5a0-6a06-4a84-b408-3f70e798c8ef|0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>Files are in</p>
iTrade & Tools|Check CIMS Event Log|Review from yesterday to current + look for Error 4010 & 4016|https://web.microsoftstream.com/video/051f3b07-0606-4a6f-8971-b9884bf8877f|0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>Total Amount does not match in Header and Detail for Invoice(s): [CANADANESTL_57190235_UNBALANCED_20221229220328845.TXT-9692237529]</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>No errors again</p>
iTrade & Tools|Check overnight CIMS file load|Check the invoice files that came between 11 AM yesterday and 4 AM today with the Filebot & Audit tool, action any issues detected.|https://web.microsoftstream.com/video/072bb6b4-eb31-43cc-ae6c-ff3cf4ec4ac1|0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Parth.Padhya (12/30/2022)</i></span><br>1 unbalanced invoice of nestle</p>
iTrade & Tools|Missing CIMS Invoice Email|Check the Missing Invoice Tracker and follow up with vendors regarding missing invoices|https://web.microsoftstream.com/video/c50dbb2f-c777-4b8c-9245-003b4333932b|13~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/09/2022)</i></span><br>Nestle Missing invoice#9689758182 from unit# 62503</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/09/2022)</i></span><br>Nestle Missing invoice 9689796018 & 9689789567 unit 58076</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/12/2022)</i></span><br>Sysco missing invoice 3313023502 unit 43077</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/13/2022)</i></span><br>7 Hector invoices (12/2-12/6) for 53651 - keyed to ORBIT</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/13/2022)</i></span><br>Sysco Missing invoices #3313024490 & 3313024489 unit 47021</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/13/2022)</i></span><br>Sysco missing invoice #3313024553 unit 43415</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/13/2022)</i></span><br>Sysco missing invoice #3313023427 unit 41522</p><p><span style="color:#404040;font-size:0.75em;"><i>Chris.Anzuluni (12/14/2022)</i></span><br>All sysco are now in Cims</p><p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/14/2022)</i></span><br>Sysco missing invoice#3382900978 unit#23691</p><p><span style="color:#404040;font-size:0.75em;"><i>Berkeley.Chan (12/15/2022)</i></span><br>Sysco missing invoice #3382901077 for unit 13306</p><p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/16/2022)</i></span><br>Sysco missing invoice#3382901840for unit#11245</p><p><span style="color:#404040;font-size:0.75em;"><i>DevBox (12/23/2022)</i></span><br>11 outstanding invoices on the tracker</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>Only 1 GT invoice outstanding as of 12.30.22</p>
iTrade & Tools|Check the 11 AM CIMS file load|Check the invoice files that came after 4AM to now with the Filebot & Audit tool|https://web.microsoftstream.com/video/072bb6b4-eb31-43cc-ae6c-ff3cf4ec4ac1|0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Parth.Padhya (12/30/2022)</i></span><br>need to check CANADANESTL_57190235_UNBALANCED_20221229220328845parth.TXT in second fileload</p><p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>Confirmed, your invoice loaded, good job Parth!</p><p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>Nothing of concern in the second load.</p>
iTrade & Tools|DCNT (customer number tool)|Load all the iTrade files that came from over night to today and action any customer numbers the tool reports. This is best done after the 11AM Filebot.||0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>None for either load.</p>
iTrade & Tools|Invoices in CR position|Run tool and and look for product invoice in a credit postion, action if you find. - CIMS||0~Complete|Parth.Padhya|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>Only 2 min order charges today.</p>
CIMS|Invoice Recalc Check|Use the CIMS price variance report and look for anything from yesterday that has a negative price recalculation. That would mean we are paying more for something and something is probably wrong with the invoice.||0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/30/2022)</i></span><br>Coremark tax and traditional tax only - update in the tracker</p>
CIMS|Submit Invoices|Push through any invoice an operator may have forgotten to submit.||0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/30/2022)</i></span><br>Submitted</p>
CIMS|Resolve Rejected Screen|Clean that screen up and track anything from the IVR users in the tracker||0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/30/2022)</i></span><br>4 unresolved rejected invoices - will follow-up next week</p>
Other Tasks|CIMS Access and JDE Vendor Changes|Use the tools to review the unit user & supplier reference files in the CIMS repository for changes that might impact us. Track in CIMS JDE Vendor & CIMS user drops.xlsx. |https://web.microsoftstream.com/video/88dd16df-32e5-40f8-a944-350ebe6a5338|0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>44039-Manoir Claudette Barre CP TM-no date</p><p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>In JDE TM date is 2022/12//21</p>
Other Tasks|Email low volume vendors|Review Filebot grid and email any vendor that seems to have unusual invoice activity.||0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>No datacomm again but I haven't heard back from Jody, she will be back in the new year.</p>
Other Tasks|Unit Info Sheets|Review and action any setups or changes reported in the sheets, schedule a reminder to action if the change is happening in the future.|https://web.microsoftstream.com/video/5b0356ea-3e18-4656-acc8-7f270457f72e|0~Complete|Vivian.Du|<p><span style="color:#404040;font-size:0.75em;"><i>Vivian.Du (12/30/2022)</i></span><br>Nothing for this week now</p>
Other Tasks|Delete stuck VMs|Call 3286175 & 3286178 from Jabber, push * when you here the greating, then 3286175 & 3286178 # for the pin & 555777 # for the password...call any new msg heard as it was not emailed to our inbox, then delete new and saved VMs and then delete the deleted.||0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>Clean.</p>
Boss|10k keyed backup|On the first week of the period follow the 10k backup process and document why we might have keyed that.|https://web.microsoftstream.com/video/578c9351-72d8-4cd2-aa88-6f5e0b8f1b8e|0~NA|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>not W1</p>
Digital Hospitality|Daily Digital Hospitality Uploads |Run Journal Entry Batch Processor and investigate any kickouts. User IDs: CDL_MOBILE, MODURN_MBL, NUTRISLICE, APP8_MBL|https://web.microsoftstream.com/channel/fbcc7943-e018-47b1-967d-c0022d1f34ef|0~Complete|Ellen.Cavell|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>Nutrislice good</p><p><span style="color:#404040;font-size:0.75em;"><i>Ellen.Cavell (12/30/2022)</i></span><br>CDL is good</p>
Digital Hospitality|Check CDL Exact Discrepancy Report Daily|Run Exact Discrepancy Report on Dashboard, and contact CDL about any variances.||0~Complete|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>Mary said triple payment but all good.</p>
Digital Hospitality|App8 Validation | Login to Bambora and App8 portal for 10751, validate that they match the JDE submission around 1pm daily. Make corrections to tips (214070) and sales if necessary, then run Digital Hospitality processor for APP8_MBL||0~Complete|Ellen.Cavell|<p><span style="color:#404040;font-size:0.75em;"><i>Ellen.Cavell (12/30/2022)</i></span><br>no sales on App8</p>
Debit Terminal Support|Check Chargebacks|Need to check all the following websites and respond to any new cases - Clinetline, AMEX, Chase, TD, Moneris. There is instructions on how to respond to Clientline, AMEX, and Chase chargebacks in the debit terminal helper knowledge garden. I’ve never had a TD or Moneris chargeback so no instructions on that.||0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>No chargebacks</p>
Debit Terminal Support|Maintenance Form - Fiserv|Must be sent to andrew.leblanc@fiserv.com by 2PM. Instructions on maintenance form are located in the debit terminal helper knowledge garden.||0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>None today</p>
Debit Terminal Support|Maintenance Form - Moneris|CAF(s) and maintenance form need to be sent to justin.baird@moneris.com and chris.smith@moneris.com.||0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>On hold for Melissa on Tuesday</p>
Debit Terminal Support|Fiserv Refund Form|Once a day send andrew.leblanc@fiserv.com and Nadira.John@Fiserv.com a list of all our instore refunds request (if there is any).||0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>None today</p>
Debit Terminal Support|Admin Fees|DTS will send App Support a JE with the fees that need to be keyed||0~NA|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>Next week when Melissa returns</p>
Online Reporting|Action JDE Changes|Run the process outlined in the knowledge garden||0~Complete|Angela.Fitt|<p><span style="color:#404040;font-size:0.75em;"><i>Angela.Fitt (12/30/2022)</i></span><br>All done</p>
Zipthru|Month End Report – after 2nd Op – PERIOD END ONLY|Run T/B by Object for 255095 and Givex Liability Report. Ensure both still match, and any corrections needed are keyed before final op.||0~NA|Eric.Zueff|<p><span style="color:#404040;font-size:0.75em;"><i>Eric.Zueff (12/30/2022)</i></span><br>Not PE</p>
