Business Unit,Obj Acct,Sub,Co,Account Description,L D,P E,Account ID,Free Form Account No.,Taxable Account,Tax Rate/Area,Operating Statement,Op Stmt PL Reporting,Royalty,Fin. Chg/Train,Vending Contribution,Insurance,GST ITC %,GST Expense %,QC Train Res.,Client Statements,Bnkg/Com Exp. 6%,Cost Centre Reporting,Grp. Insur. Quebec,Vac. Pay  Quebec,Bill Prod. Cost Quebec,Cat 016,Cat 017,Cat 018,Cat 019,HFM Custom 2,IMS,GIFI Code,Contribution,Category Code 024,Category Code 025,Category Code 026,Category Code 027,Category Code 028,Category Code 029,Category Code 030,Category Code 031,Category Code 032,Category Code 033,Category Code 034,Category Code 035,Category Code 036,Category Code 037,Category Code 038,Category Code 039,Category Code 040,Category Code 041,Category Code 042,Category Code 043,Business Unit Description,Sector,Sub Segment,Province,District,WCB Rates,Promo Expense,Lasalle Workbench,New/Lost Business,BU CAT 09,BU CAT 10,BU CAT 11,BU CAT 12,BU CAT 13,BU CAT 14,BU CAT 15,BU CAT 16,BU CAT 17,BU CAT 18,BU CAT 19,BU Cat 20,BU CAT 21,BU CAT 22,BU CAT 23,BU CAT 24,BU CAT 25,BU CAT 26,BU CAT 27,BU CAT 28,BU CAT 29,BU CAT 30,BU CAT 31,BU CAT 32,BU CAT 33,BU CAT 34,BE - Digital Hospitality,BU CAT 36,BU CAT 37,BU CAT 38,BU CAT 39,BU CAT 40,BU CAT 41,BU CAT 42,BU CAT 43,BU CAT 44,BU CAT 45,BU CAT 46,BU CAT 47,BU CAT 48,BU CAT 49,BU CAT 50,Adj Entry,Adjustment Entry Description
"           1",113100," ",00001,Billing Receivables,6,N,00010008," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113101," ",00001,Contract Billings,7,M,00010010," ",0," "," ",925," "," "," "," "," "," "," "," "," "," "," "," "," "," ",120," ",104,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113102," ",00001,Special Function Billings,7,M,00010013," ",0," "," ",925," "," "," "," "," "," "," "," "," "," "," "," "," "," ",120," ",104,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113103," ",00001,Over/Under Billed Expense,7,I,01824188," "," "," "," ",925," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113104," ",00001,Purchase Rebates Receivable,7,M,01818124," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",130," ",112,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113105," ",00001,Invoiced Disc. & Rebates-Que,7,I,02152501," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113106," ",00001,Accrued Purchase Rebates,7," ",02817533," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",130," ",112,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113107," ",00001,Client Holdback Receivable,7," ",03689680," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113109," ",00001,Client prepay recl. < 1 Yr.,7," ",06137545," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",120," ",276,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113110," ",00001,Contract Billings - 1999,7,I,01783081," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113115," ",00001,Canteen of Kawartha Canada,7,I,01824189," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113120," ",00001,Accounts Receivable>1 yr.,7," ",03689684," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",121," ",048,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113125," ",00001,Receivable -121 RSW Inc.>1 YR,7," ",06920418," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",655," ",060,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113199," ",00001,Unapplied Receipts,7," ",01478228," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",120," ",104,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113200," ",00001,Allowance for Doubtful Account,6," ",01784280," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",135," ",108,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113210," ",00001,PAR - Allowance Prov.,6," ",03689681," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",135," ",108,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113220," ",00001,Allow. for Doubtful Acct.>1yr,6," ",03689685," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",136," ",052,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113300," ",00001,Allow.-Non-Trade Receivables,6," ",03776267," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",520," ",132,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",113400," ",00001,Allow.Purch. Rebate Receivable,6," ",06051163," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",130," ",113,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114000," ",00001,Accounts Receivable - Other,5,N,00010649," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114300," ",00001,Credit Receivables,6,I,00010019," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114301," ",00001,Visa Receivable,7,I,00010021," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114302," ",00001,MasterCard Receivable,7,I,00010023," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114303," ",00001,Amex Receivable,7," ",00010025," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114304," ",00001,Debit Card Receivable,7," ",00010027," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114305," ",00001,Visa/MC,7," ",01865460," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114306," ",00001,Dexit Receivable,7," ",02523997," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114307," ",00001,Gift Cards Receivable,7," ",02943397," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",502," ",280,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114308," ",00001,First Card - Cashless System,7," ",03289309," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114309," ",00001,Second Cup Gift Cards,7," ",03364811," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114310," ",00001,Subcontractor Payt. Brands Rec,7," ",07091711," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114311," ",00001,Extreme Pita Gift Cards,7,I,04069892," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114312," ",00001,Subway Gift Cards,7," ",05707047," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114313," ",00001,Tim Hortons Gift Cards,7," ",05707048," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114314," ",00001,Starbucks Gift Cards,7," ",05707049," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114315," ",00001,Booster Juice Gift Cards,7," ",05774538," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114316," ",00001,Boston Pizza Gift Cards,7," ",06226681," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114317," ",00001,Good Earth Gift Cards,7," ",06413761," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114318," ",00001,Deposits - E-commerce,7," ",07163127," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
"           1",114320," ",00001,Discover Card Receivable,7," ",06399241," ",0," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",131," ",128,100," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Model Financial Business Unit," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",MD," ",0,Not Restricted
